Date,Price,Open,High,Low,Vol.,Change %
01/12/2021,4766.18,4623.8,4808.52,4494.2,-,0.0436
01/11/2021,4567,4616.47,4743.74,4560.26,-,-0.0083
01/10/2021,4605.38,4324.71,4608.7,4278.7,-,0.0691
01/09/2021,4307.54,4531.04,4544.58,4304.9,-,-0.0476
01/08/2021,4522.68,4415.9,4537.8,4369.2,-,0.029
01/07/2021,4395.26,4304.1,4430.2,4232.8,-,0.0227
01/06/2021,4297.5,4216.52,4302.43,4164.4,-,0.0222
01/05/2021,4204.11,4191.98,4238.04,4056.88,-,0.0055
01/04/2021,4181.17,3992.78,4218.78,3992.78,-,0.0524
01/03/2021,3972.89,3842.51,3994.41,3723.34,-,0.0424
01/02/2021,3811.15,3731.17,3950.43,3725.62,-,0.0261
01/01/2021,3714.24,3764.61,3870.9,3662.71,-,-0.0111
01/12/2020,3756.07,3645.87,3760.2,3633.4,-,0.0371
01/11/2020,3621.63,3296.2,3645.99,3279.74,-,0.1075
01/10/2020,3269.96,3385.87,3549.85,3233.94,-,-0.0277
01/09/2020,3363,3507.44,3588.11,3209.45,-,-0.0392
01/08/2020,3500.31,3288.26,3514.77,3284.53,-,0.0701
01/07/2020,3271.12,3105.92,3279.99,3101.17,-,0.0551
01/06/2020,3100.29,3038.78,3233.13,2965.66,-,0.0184
01/05/2020,3044.31,2869.09,3068.67,2766.64,-,0.0453
01/04/2020,2912.43,2498.08,2954.86,2447.49,-,0.1268
01/03/2020,2584.59,2974.28,3136.72,2191.86,-,-0.1251
01/02/2020,2954.22,3235.66,3393.52,2855.84,-,-0.0841
01/01/2020,3225.52,3244.67,3337.77,3214.64,-,-0.0016
01/12/2019,3230.78,3143.85,3247.93,3070.33,-,0.0286
01/11/2019,3140.98,3050.72,3154.26,3050.72,-,0.034
01/10/2019,3037.56,2983.69,3050.1,2855.94,-,0.0204
01/09/2019,2976.74,2909.01,3021.99,2891.85,-,0.0172
01/08/2019,2926.46,2980.32,3013.59,2822.12,-,-0.0181
01/07/2019,2980.38,2971.41,3027.98,2952.22,-,0.0131
01/06/2019,2941.76,2751.53,2964.15,2728.81,-,0.0689
01/05/2019,2752.06,2952.33,2954.13,2750.52,-,-0.0658
01/04/2019,2945.83,2848.63,2949.52,2848.63,-,0.0393
01/03/2019,2834.4,2798.22,2860.31,2722.27,-,0.0179
01/02/2019,2784.49,2702.32,2813.49,2681.83,-,0.0297
01/01/2019,2704.1,2476.96,2708.95,2443.96,-,0.0787
01/12/2018,2506.85,2790.5,2800.18,2346.58,-,-0.0918
01/11/2018,2760.17,2717.58,2815.15,2631.09,-,0.0179
01/10/2018,2711.74,2926.29,2939.86,2603.54,-,-0.0694
01/09/2018,2913.98,2896.96,2940.91,2864.12,-,0.0043
01/08/2018,2901.52,2821.17,2916.5,2796.34,-,0.0303
01/07/2018,2816.29,2704.95,2848.03,2698.95,-,0.036
01/06/2018,2718.37,2718.7,2791.47,2691.99,-,0.0048
01/05/2018,2705.27,2643.64,2742.24,2594.62,-,0.0216
01/04/2018,2648.05,2633.45,2717.49,2553.8,-,0.0027
01/03/2018,2640.87,2715.22,2801.9,2585.89,-,-0.0269
01/02/2018,2713.83,2816.45,2835.96,2532.69,-,-0.0389
01/01/2018,2823.81,2683.73,2872.87,2682.36,-,0.0562
01/12/2017,2673.61,2645.1,2694.97,2605.52,-,0.0098
01/11/2017,2647.58,2583.21,2657.74,2557.45,-,0.0281
01/10/2017,2575.26,2521.2,2582.98,2520.4,-,0.0222
01/09/2017,2519.36,2474.42,2519.44,2446.55,-,0.0193
01/08/2017,2471.65,2477.1,2490.87,2417.35,-,0.0005
01/07/2017,2470.3,2431.39,2484.04,2407.7,-,0.0193
01/06/2017,2423.41,2415.65,2453.82,2405.7,-,0.0048
01/05/2017,2411.8,2388.5,2418.71,2352.72,-,0.0116
01/04/2017,2384.2,2362.34,2398.16,2328.95,-,0.0091
01/03/2017,2362.72,2380.13,2400.98,2322.25,-,-0.0004
01/02/2017,2363.64,2285.59,2371.54,2271.65,-,0.0372
01/01/2017,2278.87,2251.57,2300.99,2245.13,-,0.0179
01/12/2016,2238.83,2200.17,2277.53,2187.44,-,0.0182
01/11/2016,2198.81,2128.68,2214.1,2083.79,-,0.0342
01/10/2016,2126.15,2164.33,2169.6,2114.72,-,-0.0194
01/09/2016,2168.27,2171.33,2187.87,2119.12,-,-0.0012
01/08/2016,2170.95,2173.15,2193.81,2147.58,-,-0.0012
01/07/2016,2173.6,2099.34,2177.09,2074.02,-,0.0356
01/06/2016,2098.86,2093.94,2120.55,1991.68,-,0.0009
01/05/2016,2096.96,2067.17,2103.48,2025.91,-,0.0153
01/04/2016,2065.3,2056.62,2111.05,2033.8,-,0.0027
01/03/2016,2059.74,1937.09,2072.21,1937.09,-,0.066
01/02/2016,1932.23,1936.94,1962.96,1810.1,-,-0.0041
01/01/2016,1940.24,2038.2,2038.2,1812.29,-,-0.0507
01/12/2015,2043.94,2082.93,2104.27,1993.26,-,-0.0175
01/11/2015,2080.41,2080.76,2116.48,2019.39,-,0.0005
01/10/2015,2079.36,1919.65,2094.32,1893.7,-,0.083
01/09/2015,1920.03,1970.09,2020.86,1871.91,-,-0.0264
01/08/2015,1972.18,2104.49,2112.66,1867.01,-,-0.0626
01/07/2015,2103.84,2067,2132.82,2044.02,-,0.0197
01/06/2015,2063.11,2108.64,2129.87,2056.32,-,-0.021
01/05/2015,2107.39,2087.38,2134.72,2067.93,-,0.0105
01/04/2015,2085.51,2067.63,2125.92,2048.38,-,0.0085
01/03/2015,2067.89,2105.23,2117.52,2039.69,-,-0.0174
01/02/2015,2104.5,1996.67,2119.59,1980.9,-,0.0549
01/01/2015,1994.99,2058.9,2072.36,1988.12,-,-0.031
01/12/2014,2058.9,2065.78,2093.55,1972.56,-,-0.0042
01/11/2014,2067.56,2018.21,2075.76,2001.01,-,0.0245
01/10/2014,2018.05,1971.44,2018.19,1820.66,-,0.0232
01/09/2014,1972.29,2004.07,2019.26,1964.04,-,-0.0155
01/08/2014,2003.37,1929.8,2005.04,1904.78,-,0.0377
01/07/2014,1930.67,1962.29,1991.39,1930.67,-,-0.0151
01/06/2014,1960.23,1923.87,1968.17,1915.98,-,0.0191
01/05/2014,1923.57,1884.39,1924.03,1859.79,-,0.021
01/04/2014,1883.95,1873.96,1897.28,1814.36,-,0.0062
01/03/2014,1872.34,1857.68,1883.97,1834.44,-,0.0069
01/02/2014,1859.45,1782.68,1867.92,1737.92,-,0.0431
01/01/2014,1782.59,1845.86,1850.84,1770.45,-,-0.0356
01/12/2013,1848.36,1806.55,1849.44,1767.99,-,0.0236
01/11/2013,1805.81,1758.7,1813.55,1746.2,-,0.028
01/10/2013,1756.54,1682.41,1775.22,1646.47,-,0.0446
01/09/2013,1681.55,1635.95,1729.86,1633.41,-,0.0297
01/08/2013,1632.97,1689.42,1709.67,1627.47,-,-0.0313
